file,title,url,word_count,has_tables,has_infobox,chosen_from
Interlingue.txt,Interlingue,https://so.wikipedia.org/wiki?curid=35144,211,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Af Ga.txt,Af Ga,https://so.wikipedia.org/wiki?curid=41135,235,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Qeenid (midab).txt,Qeenid (midab),https://so.wikipedia.org/wiki?curid=6902,32,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Magnoliaceae.txt,Magnoliaceae,https://so.wikipedia.org/wiki?curid=37155,73,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Qubrista Waqooyi ee turkida.txt,Qubrista Waqooyi ee turkida,https://so.wikipedia.org/wiki?curid=15166,335,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Qarax Moqadisho Somalia 2021.txt,Qarax Moqadisho Somalia 2021,https://so.wikipedia.org/wiki?curid=33511,66,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Bandiiradley.txt,Bandiiradley,https://so.wikipedia.org/wiki?curid=4923,194,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
101 (tiro).txt,101 (tiro),https://so.wikipedia.org/wiki?curid=13544,94,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Lara Dutta.txt,Lara Dutta,https://so.wikipedia.org/wiki?curid=35798,178,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Saldanadii Cal Miskaad.txt,Saldanadii Cal Miskaad,https://so.wikipedia.org/wiki?curid=31042,174,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Laasdoomaare.txt,Laasdoomaare,https://so.wikipedia.org/wiki?curid=28508,99,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Xasiid.txt,Xasiid,https://so.wikipedia.org/wiki?curid=19409,122,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
David Silva.txt,David Silva,https://so.wikipedia.org/wiki?curid=21795,162,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Haraat.txt,Haraat,https://so.wikipedia.org/wiki?curid=18467,169,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Fanza.txt,Fanza,https://so.wikipedia.org/wiki?curid=34391,54,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Meron Getnet.txt,Meron Getnet,https://so.wikipedia.org/wiki?curid=35092,85,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Will Success Spoil Rock Hunter.txt,Will Success Spoil Rock Hunter?,https://so.wikipedia.org/wiki?curid=32895,253,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
136 (tiro).txt,136 (tiro),https://so.wikipedia.org/wiki?curid=13659,111,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Beerta Qaranka ee Yellowstone.txt,Beerta Qaranka ee Yellowstone,https://so.wikipedia.org/wiki?curid=37049,203,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Magaalada Shashemene.txt,Magaalada Shashemene,https://so.wikipedia.org/wiki?curid=40276,106,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Angela White.txt,Angela White,https://so.wikipedia.org/wiki?curid=32661,229,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Ooshiyaaniya.txt,Ooshiyaaniya,https://so.wikipedia.org/wiki?curid=2100,39,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Guam.txt,Guam,https://so.wikipedia.org/wiki?curid=32206,19,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Trapelus boehmei.txt,Trapelus boehmei,https://so.wikipedia.org/wiki?curid=37151,87,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Billie Eilish.txt,Billie Eilish,https://so.wikipedia.org/wiki?curid=35407,234,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Apple Music.txt,Apple Music,https://so.wikipedia.org/wiki?curid=31684,216,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Meet Me There.txt,Meet Me There,https://so.wikipedia.org/wiki?curid=32801,119,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Sh. Cabduraxmaan Alsudeys.txt,Sh. Cabduraxmaan Alsudeys,https://so.wikipedia.org/wiki?curid=4701,201,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Soomaaliya.txt,Soomaaliya,https://so.wikipedia.org/wiki?curid=36928,16600,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Dhal Xasan.txt,Dhal Xasan,https://so.wikipedia.org/wiki?curid=25585,96,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Jamestown.txt,Jamestown,https://so.wikipedia.org/wiki?curid=7092,224,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
I Just Wanna Dance.txt,I Just Wanna Dance,https://so.wikipedia.org/wiki?curid=33071,170,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Sunmi.txt,Sunmi,https://so.wikipedia.org/wiki?curid=32450,298,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Jaamacadda Gollis.txt,Jaamacadda Gollis,https://so.wikipedia.org/wiki?curid=20601,210,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Waddanka Qatar Kubedka.txt,Waddanka Qatar Kubedka,https://so.wikipedia.org/wiki?curid=33608,216,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
154 (tiro).txt,154 (tiro),https://so.wikipedia.org/wiki?curid=13628,113,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Bursa.txt,Bursa,https://so.wikipedia.org/wiki?curid=19759,232,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Midab.txt,Midab,https://so.wikipedia.org/wiki?curid=4696,161,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Warshad - Desalination.txt,Warshad - Desalination,https://so.wikipedia.org/wiki?curid=36246,33,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Caatifeteeh Yaxyega.txt,Caatifeteeh Yaxyega,https://so.wikipedia.org/wiki?curid=41866,68,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Xasan Daahir Afqurac.txt,Xasan Daahir Afqurac,https://so.wikipedia.org/wiki?curid=37068,83,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Liiska Xisbiyada Siyaasadda Somaliland.txt,Liiska Xisbiyada Siyaasadda Somaliland,https://so.wikipedia.org/wiki?curid=30838,427,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Cerebellum.txt,Cerebellum,https://so.wikipedia.org/wiki?curid=5145,34,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
95 (tiro).txt,95 (tiro),https://so.wikipedia.org/wiki?curid=13581,96,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
